# Downloaded 10/08/2018
# http://kronos.uchicago.edu/snax/
# All SNe with II in type
"name"	"type"	"Date Exploded (JD)"	"Coordinates"	"Distance (Mpc)"	"galaxy"	"redshift"	"redshiftErr"	"Observation Start Date (JD)"	"instrument"	"Age (days)"	"Flux (10^-13 erg cm^-2 s^-1)"	"isUpperBound"	"fluxErrL"	"fluxErrH"	"Energy Lower Bound (KeV)"	"Energy Upper Bound (KeV)"	"Luminosity (10^39 erg s^-1)"	"lumErrL"	"lumErrH"	"model"	"dateExplodedRef"	"redshiftRef"	"dateExplodedRef"	"coordsRef"	"distRef"	"dateObservedRef"	"fluxRef"	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2449884.5	ROSAT HRI	6234	12.1	0	3.6	3.6	0.5	2.0	2.4	0.7	0.7	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2449294.5	ROSAT PSPC	5644	12.4	0	2.2	2.2	0.5	2.0	2.5	0.4	0.4	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1978K	IIn	2443650.5	03 17 38.620 -66 33 03.40	4.0700000000	NGC 1313	0.0015680000	0.000000000000000	2448333.5	ROSAT PSPC	4683	4.7	0	3.0	3.0	0.5	2.0	0.9	0.6	0.6	VMEKAL	1993ApJ...416..167R	2004MNRAS.350.1195M	1993ApJ...416..167R	1993ApJ...416..167R	2008ApJ...676..184T	2004ApJ...603..644S	2004ApJ...603..644S	
SN 1986J	IIn	2445226.5	02 22 31.33 +42 19 56.4	10.00	NGC 891	0.00176	0.00001	2448486.5	ROSAT PSPC	3260	7.90	0	0.41	0.41	0.5	2.5	9.5	0.5	0.5	Thermal Plasma	2002ApJ...581.1132B	1999PASP..111..438F	2002ApJ...581.1132B	1993BICDS..42...17T	2002ApJ...581.1132B	1998ApJ...493..431H	1998ApJ...493..431H	
SN 1986J	IIn	2445226.5	02 22 31.33 +42 19 56.4	10.0000000000	NGC 891	0.0017610000	0.000010000000000	2449207.5	ROSAT PSPC	3981	4.91	0	0.24	0.24	0.5	2.5	5.9	0.3	0.3	Thermal Plasma	2002ApJ...581.1132B	1999PASP..111..438F	2002ApJ...581.1132B	1993BICDS..42...17T	2002ApJ...581.1132B	1998ApJ...493..431H	1998ApJ...493..431H	
SN 1986J	IIn	2445226.5	02 22 31.33 +42 19 56.4	10.0000000000	NGC 891	0.0017610000	0.000010000000000	2449744.5	ROSAT HRI	4518	3.95	0	0.26	0.26	0.5	2.5	4.7	0.3	0.3	Thermal Plasma	2002ApJ...581.1132B	1999PASP..111..438F	2002ApJ...581.1132B	1993BICDS..42...17T	2002ApJ...581.1132B	1998ApJ...493..431H	1998ApJ...493..431H	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.00	MCG+03-28-022 	0.02284	0.00023	2449884.5	ROSAT HRI	2376	0.392	0	0.0	0.0	0.2	2.0	41	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.0000000000	MCG+03-28-022 	0.0228400000	0.000230000000000	2449884.5	ROSAT HRI	2376	0.275	0	0.0	0.0	0.5	2.0	28	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.0000000000	MCG+03-28-022 	0.0228400000	0.000230000000000	2450725.5	ROSAT HRI	3217	0.178	0	0.0	0.0	0.2	2.0	18	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
SN 1988Z	IIn	2447508.5	10 51 50.10 +16 00 00.5	93.0000000000	MCG+03-28-022 	0.0228400000	0.000230000000000	2450725.5	ROSAT HRI	3217	0.125	0	0.0	0.0	0.5	2.0	13	0	0	VMEKAL	2006ApJ...646..378S	2009yCat.2294....0A	2006ApJ...646..378S	2008yCat.2283....0B	2006ApJ...646..378S	2006ApJ...646..378S	2006ApJ...646..378S	
